English,Bangla
bloody ,রক্তাক্ত 
college ,কলেজ 
french ,ফরাসি 
involved ,জড়িত 
pleasure ,আনন্দ 
became ,পরিণত 
lived ,বসবাস 
impossible ,অসম্ভব 
obviously ,স্পষ্টতই 
neither ,না 
accept ,গ্রহণ 
boyfriend ,প্রেমিক 
besides ,ছাড়াও 
queen ,রানী 
teacher ,শিক্ষক 
cops ,পুলিশ 
sake ,খাতির 
loves ,ভালবাসে 
carry ,বহন 
teach ,শেখান 
apartment ,অ্যাপার্টমেন্ট 
upset ,মন খারাপ 
green ,সবুজ 
liked ,পছন্দ 
cute ,সুন্দর 
evil ,মন্দ 
professor ,অধ্যাপক 
contact ,যোগাযোগ 
joke ,কৌতুক 
cop ,পুলিশ 
huge ,বিশাল 
holy ,পবিত্র 
store ,দোকান 
jail ,জেল 
likes ,পছন্দ 
lawyer ,আইনজীবী 
doubt ,সন্দেহ 
continue ,চালিয়ে যান 
appreciate ,প্রশংসা 
cat ,বিড়াল 
shop ,দোকান 
driving ,ড্রাইভিং 
congratulations ,অভিনন্দন 
wrote ,লিখেছেন 
village ,গ্রাম 
quit ,প্রস্থান 
field ,ক্ষেত্র 
james ,জেমস 
wine ,ওয়াইন 
decision ,সিদ্ধান্ত 
south ,দক্ষিণ 
sleeping ,ঘুমন্ত 
slow ,ধীর 
laughter ,হাসি 
island ,দ্বীপ 
glass ,গ্লাস 
beginning ,শুরু 
cash ,নগদ 
dying ,মারা যাচ্ছে 
hundred ,শত 
whose ,যার 
difference ,পার্থক্য 
plane ,সমতল 
push ,ধাক্কা 
continues ,চলতে থাকে 
mmm ,মিম 
singing ,গান 
eating ,খাওয়া 
north ,উত্তর 
mrs ,মিসেস 
tree ,গাছ 
madam ,ম্যাডাম 
gift ,উপহার 
truck ,ট্রাক 
putting ,নির্বাণ 
bear ,ভালুক 
board ,বোর্ড 
grab ,দখল 
beer ,বিয়ার 
stuck ,আটকে 
magic ,জাদু 
support ,সমর্থন 
rules ,নিয়ম 
grunts ,গর্জন 
partner ,অংশীদার 
reach ,নাগাল 
wind ,বাতাস 
colonel ,কর্নেল 
max ,সর্বোচ্চ 
immediately ,অবিলম্বে 
seconds ,সেকেন্ড 
thousand ,হাজার 
gives ,দেয় 
experience ,অভিজ্ঞতা 
cheers ,চিয়ার্স 
victim ,শিকার 
upon ,উপর 
computer ,কম্পিউটার 
christ ,খ্রিস্ট 
planet ,গ্রহ 
promised ,প্রতিশ্রুতি 
bus ,বাস 
henry ,হেনরি 
dirty ,নোংরা 
search ,অনুসন্ধান 
staying ,থাকা 
dreams ,স্বপ্ন 
arrest ,গ্রেফতার 
holding ,ধরে রাখা 
suddenly ,হঠাৎ 
usually ,সাধারণত 
lots ,প্রচুর 
shoes ,জুতা 
er ,er 
jump ,লাফ 
rid ,পরিত্রাণ 
yo ,yo 
knock ,নক 
owe ,ঋণী 
harry ,হ্যারি 
grow ,হত্তয়া 
worst ,সবচেয়ে খারাপ 
river ,নদী 
aunt ,খালা 
patient ,রোগী 
kitchen ,রান্নাঘর 
aah ,aah 
fat ,চর্বি 
passed ,পাস 
m ,মি 
final ,চূড়ান্ত 
summer ,গ্রীষ্ম 
bob ,বব 
listening ,শোনা 
escape ,পলায়ন 
everywhere ,সর্বত্র 
moon ,চাঁদ 
arms ,অস্ত্র 
turns ,বাঁক 
address ,ঠিকানা 
ow ,ow 
match ,ম্যাচ 
gasps ,হাঁফ 
grand ,গ্র্যান্ড 
yep ,হ্যাঁ 
shh ,shh 
nervous ,নার্ভাস 
de ,ডি 
choose ,চয়ন করুন 
themselves ,নিজেদের 
decide ,সিদ্ধান্ত 
mate ,সঙ্গী 
drinking ,মদ্যপান 
press ,প্রেস 
bother ,বিরক্ত করা 
foot ,পা 
hadn ,ছিল না 
blame ,দোষ 
crap ,বাজে কথা 
drugs ,ওষুধ 
type ,টাইপ 
rings ,রিং 
mission ,মিশন 
named ,নাম 
heaven ,স্বর্গ 
ii ,ii 
picked ,বাছাই করা 
paris ,প্যারিস 
race ,জাতি 
risk ,ঝুঁকি 
books ,বই 
further ,আরও 
danny ,ড্যানি 
action ,কর্ম 
allowed ,অনুমোদিত 
orders ,আদেশ 
learned ,শিখেছি 
price ,মূল্য 
arrived ,পৌঁছেছে 
nick ,নিক 
otherwise ,অন্যথায় 
pictures ,ছবি 
fit ,ফিট 
smoke ,ধোঁয়া 
favor ,অনুগ্রহ 
played ,খেলা 
notice ,নোটিশ 
awesome ,দুর্দান্ত 
smile ,হাসি 
director ,পরিচালক 
guard ,প্রহরী 
begin ,শুরু 
spot ,স্পট 
surprised ,বিস্মিত 
innocent ,নির্দোষ 
narrator ,বর্ণনাকারী 
herself ,নিজেকে 
london ,লন্ডন 
feelings ,অনুভূতি 
enemy ,শত্রু 
battle ,যুদ্ধ 
ourselves ,নিজেদেরকে 
alex ,alex 
dollars ,ডলার 
allow ,অনুমতি 
nine ,নয়টি 
gay ,সমকামী 
department ,বিভাগ 
guilty ,দোষী 
apart ,আলাদা 
earlier ,আগে 
duty ,কর্তব্য 
jim ,জিম 
